n1,n2
RASGAP,RAS
RASGAP,PKB
ILK,PKB
ILK,GSK3
CAMKK,CAMKI
CAMKK,CAMKIV
CAMKK,CAMKI
CAMKK,CAMKIV
CAMKK,PKB
CAMKIV,CREB
CAMKII,CREB
CAMKK,CAMKI
CAMKIV,SYNAPSIN
CHOLESTEROL,SYNAPTOPHYSIN
MUNC13,SYNTAXIN
COMPLEXIN,SYNTAXIN
COMPLEXIN,SNAP25
SNAPIN,AC5
SNAPIN,SNAP25
CASK,SYNTAXIN
PKA,SNAPIN
PKI,PKA
DYRK,EIF2
DYRK,TAU
PP2A,CAS
GSK3,INHIBITOR2
CASK,INHIBITOR2
GSK3,INHIBITOR2
INHIBITOR2,PP1
SHP1,ALPHAACTININ
SHP1,SPROUTY
PTP1B,IR
PP5,TAU
CAMKPASE,CaMKI
CAMKPASE,CaMKI
CAMKPASE,CAMKII
CAMKPASE,CAMKIV
PP1,NMDAR
PP2A,NMDAR
NMDAR,CAMKII
CALMODULIN,NMDAR
NMDAR,ALPHAACTININ
SYNTAXIN,MUNC18
NMDAR,PSD95
NMDAR,PSD95
PSD95,NOS
PP1,CAMKII
PP1,CAMKII
PKA,I1
I1,PP1
I1,PP1
CALCINEURIN,SYNAPSIN
PKC,GSK3
PKC,GSK3
IQGAP,BETACATENIN
IQGAP,BETACATENIN
IQGAP,CDC42
IQGAP,RAC
IQGAP,CDC42
IQGAP,RAC
PTPA,FYN
PTPA,FYN
PTPA,SRC
PTPA,LCK
PKC,SNAP25
PKC,SNAP25
CDK5,MUNC18
SYNTAXIN,MUNC18
CDK5,SYNTAXIN
CDK5,MUNC18
SYNTAXIN,MUNC18
PKC,MUNC18
CAMKII,VAMP
CAMKII,SYNTAXIN
CASPASE3,PIP5K
PIP2,GELSOLIN
PIP2,CASPASE3
PIP2,CASPASE8
PIP2,CASPASE9
P1433,KSR
P1433,KSR
KSR,MEK1
KSR,MAPK
KSR,RAF1
bARK,MOR
bARK,MOR
BETAARRESTIN,MOR
CALCIUM,SV2A
PKC,BCL2
GSK3,AP1
GSK3,TAU
RAF1,BAD
BAD,BCLXL
PKA,BAD
PP2C,BAD
PP2A,BAD
PP1,BCL2
PKB,CASPASE9
GEPHYRIN,GLYR
SAM68,CBP
DREAM,DRE
NMDAR,YOTIAO
PKA,YOTIAO
YOTIAO,PP1
CALCIUM,SYNAPTOTAGMIN
SYNAPTOTAGMIN,SYNTAXIN
SYNAPTOTAGMIN,SNAP25
SYNTAXIN,SNAP25
SNAP25,SYNAPTOBREVIN
SYNTAXIN,SYNAPTOBREVIN
RAL,RALBP1
ARIP2,RALBP1
AKAP15,PKA
AKAP15,LTYPECA
GKAP,SHANK
REELIN,INTEGRIN
REELIN,INTEGRIN
PKC,PMCA
PKC,PMCA
PKA,PMCA
PKA,STEP
CALCINEURIN,STEP
STEP,MAPK
CASPASE7,MEF2
CASPASE3,MEF2
SRC,SPECTRIN
CALPAIN,SPECTRIN
FYN,AMPAR
CALPAIN,AMPAR
SRC,NMDAR
CALPAIN,NMDAR
PKC,LTYPECA
PKA,LTYPECA
PKA,LTYPECA
PP2A,LTYPECA
PKA,LTYPECA
MAP2,LTYPECA
CASPASE3,PARP
PKC,IRS1
CAMKII,RICS
RACK,NMDAR
RACK,FYN
NAKED,FRIZZLED
INHIBITOR2,PP1
INHIBITOR2,PP1
PP2A,CREB
PKC,GABAAR
PKC,PLCBETA
PKA,PLCBETA
PKC,PLCBETA
PKC,PLCBETA
PKA,PLCBETA
PKC,DGK
PKC,DGK
PKB,FORKHEAD
PKB,FORKHEAD
PKB,P53
PKB,BAD
PKB,BAD
BAD,BCL2
BAD,BCL2
BAX,BAD
BAK,BAD
PP2A,CAMKIV
PP2A,CAMKIV
PAK,MLCK
GSK3,NFAT
CASK,NFAT
P38,NFAT
P38,NFAT
PKA,NFAT
P1433,NFAT
P1433,FORKHEAD
FLIP,CASPASE8
SPAL,PSD95
DAP,PSD95
SHANK,HOMER
MGLUR1,HOMER
RET,RAI
ALPHAACTININ,RABPHILIN
CLIP170,IQGAP
FAK,CAS
FAK,FYN
CRK,C3G
SHC,GRIT
MEKK1,JNK
PIN1,AP1
SV2A,SYNAPTOTAGMIN
CALCIUM,SYNAPTOTAGMIN
SYNAPTOTAGMIN,SYNTAXIN
CAMP,CAMPGEFII
PIP2,NWASP
PIP2,NWASP
PIP2,NWASP
CDC42,NWASP
CDC42,NWASP
CDC42,NWASP
GRB2,NWASP
EGFR,NWASP
PP2A,BCL2
RSK,BAD
PKA,BAD
PKB,BAD
CASPASE3,PP2A
CASPASE3,CALCINEURIN
CASPASE3,CALCINEURIN
SRC,PLCGAMMA
SRC,PLCGAMMA
LCK,PLCGAMMA
LYN,PLCGAMMA
FYN,PLCGAMMA
HCK,PLCGAMMA
ROCK,CRMP2
LARG,RHO
LARG,IGF1R
SODIUM,GAT1
SAP97,N41
PSD95,LYN
PSD95,YES
PSD95,SRC
AP1,CREB
AP1,CREB
MEKK1,SEK
P38,AP1
CAMKII,SAP97
GSK3,TAU
AKAP,PSD95
PDK1,PKC
PLCGAMMA,SYNAPSIN
PP2A,CAMKI
CAMKII,PP2A
SNAP25,CAVEOLIN
SYNTAXIN,CAVEOLIN
SRC,DYNAMIN
SYNAPSIN,SRC
LRP,FRIZZLED
ADAPTIN,SYNAPTOPHYSIN
AMPHIPHYSIN,DYNAMIN
IP6K2,GRAB
ALPHAACTININ,INTEGRIN
PAXILLIN,FAK
CRK,PAXILLIN
CRK,PAXILLIN
CRK,SHC
CRK,CAS
EGFR,CRK
BCL2,BID
BCLXL,BID
BCL2,BIK
BCLXL,BIK
CASPASE8,BID
PIP3,ILK
PTEN,PIP3
GRIT,RHO
GRIT,CDC42
GRIT,RAC
CASPASE3,DNAPK
P1433,RAF1
CALCINEURIN,I1
CASPASE3,RB
CALCINEURIN,CAMKIV
DAPK,SYNTAXIN
CASPASE8,PKR
CASPASE3,PKR
CASPASE7,PKR
CALCINEURIN,NMDAR
CALCINEURIN,DARPP32
SYNAPTOPHYSIN,SYNAPTOBREVIN
AMISYN,SYNTAXIN
AMISYN,SNAP25
CALMODULIN,RYR
ADPRIBSYCYCLASE,cADPR
ADPRIBSYCYCLASE,cADPR
cADPR,RYR
ANANDAMIDE,CB1R
ANANDAMIDE,CB2R
CB1R,GALPHAI
CB1R,GALPHAO
CB1R,GBETAGAMMA
CB2R,GALPHAI
CB2R,GALPHAO
CB2R,GBETAGAMMA
CALCINEURIN,IP3R
FKBP,CALCINEURIN
FKBP,CALCINEURIN
FKBP,CALCINEURIN
FKBP,CALCINEURIN
FKBP,IP3R
FKBP,RYR
ANKYRIN,IP3R
GLUTAMATE,MGLUR7
MGLUR7,GALPHAI
MGLUR7,GALPHAO
MGLUR7,GBETAGAMMA
CALMODULIN,MGLUR7
PKC,MGLUR7
PKC,MGLUR7
PKA,MGLUR7
PKG,MGLUR7
CALMODULIN,MGLUR7
MGLUR7,GBETAGAMMA
CALMODULIN,D2R
PKC,PICK1
PKC,MGLUR7
PICK1,MGLUR7
PICK1,ARF
BETACATENIN,PRESENILIN
GSK3,PRESENILIN
PRESENILIN,TAU
GSK3,TAU
AXIN,GSK3
FRAT2,GSK3
FRAT2,GSK3
GSK3,PRESENILIN
GSK3,TAU
PRESENILIN,SORCIN
CALCIUM,SORCIN
LTYPECA,SORCIN
SORCIN,RYR
SORCIN,RYR
DOC2,MUNC13
CALCIUM,DOC2
DOC2,MUNC13
RIM,CAMPGEFII
ABP1,PICCOLO
ABP1,DYNAMIN
NMDAR,SAP97
SAPAP,SSCAM
NMDAR,SSCAM
NEUROLIGIN,SSCAM
NMDAR,MALS
PSD95,MALS
CIPP,NEUREXIN
CIPP,NEUROLIGIN
CIPP,NMDAR
ENDOPHILIN,DYNAMIN
CIPP,KIR41
KIR41,POTASSIUM
PSD95,MAP1A
MLK,PSD95
SRC,RACK
SRC,bARK
SRC,MUSK
ALPHAACTININ,PLD
PSD95,LTYPECA
CALMODULIN,RIC
CALMODULIN,RIC
CALMODULIN,RIN
CALMODULIN,RIN
CALMODULIN,RIN
N41,AMPAR
SEC61P,NASCENTCHAIN
S40,SEC61P
S60,SEC61P
IP3R,HOMER
HOMER,AMPAR
CALCINEURIN,LTYPECA
IP3R,CALCIUM
IP3R,CALCIUM
PQCaCh,CALCIUM
PQCaCh,CALCIUM
LTYPECA,CALCIUM
LTYPECA,CALCIUM
NTYPECA,CALCIUM
NTYPECA,CALCIUM
SRC,SYK
LYN,SYK
SYK,PLCGAMMA
SYK,PLCGAMMA
NEUROFIBROMIN,RAS
NEUROFIBROMIN,RAS
DOPAMINE,D3R
D3R,GALPHAI
D3R,GALPHAO
D3R,GBETAGAMMA
D3R,GRB2
CAMKII,SYNAPTOTAGMIN
MAPK,SAM68
SRC,LTYPECA
FYN,LTYPECA
PSD95,KV12
NOS,PSD93
NMDAR,PSD93
NMDAR,PSD95
PSD95,NOS
PKA,KIR23
KIR21,POTASSIUM
PSD95,KIR21
KIR23,POTASSIUM
PSD95,KIR23
PSD95,CHAPSYN110
NMDAR,CHAPSYN110
KIR21,CHAPSYN110
KIR21,CHAPSYN110
FYN,PSD93
FYN,NMDAR
PSD95,FYN
ERBB,PSD95
ERBB,PSD95
ERBB,ERBIN
PSD95,ERBIN
ANKYRIN,SPECTRIN
ANKYRIN,SPECTRIN
NRG,ERBB
PKA,LTYPECA
SEC63P,SEC61P
PIP2,RYR
CLATHRIN,CALMODULIN
SYNTAXIN,PQCaCh
SYNTAXIN,NTYPECA
PKA,PQCaCh
BIP,SEC61P
BAG1,RAF1
BAG1,RAF1
BAG1,RAF1
BAG1,BCL2
BAG1,BCL2
KAR,NCADHERIN
MDM2,P53
PIP3,PKC
GKAP,NOS
CALCIUM,VILIP
CALCIUM,VILIP
CALCIUM,NCS1
PKC,RAF1
PKC,RAF1
CALPAIN,NMDAR
PKA,MST3
CREB,CBP
EGFR,SHC
INTEGRIN,PYK2
INTEGRIN,PYK2
CALCINEURIN,BAD
P1433,P53
CDK5,TAU
CDK5,TAU
IR,IRS2
IR,IRS2
IR,IRS2
TRKB,IRS2
IRS2,PI3K
IRS1,PI3K
TRKB,IRS1
P1433,IRS1
MAPK,MEF2
MAPK,MEF2
PKC,PICK1
PKC,PICK1
CALPAIN,CAIN
CAIN,CALCINEURIN
MAPK,MARCKS
CALCIUM,DREAM
DGK,DAG
PLCGAMMA,PIP2
EGFR,PLCGAMMA
PDGFR,PLCGAMMA
PKA,GABAAR
PKA,GABAAR
PKA,GABAAR
CALCINEURIN,CREB
N41,SPECTRIN
GRB2,SHP1
CSP,PQCaCh
CSP,NTYPECA
CSP,GBETAGAMMA
GBETAGAMMA,NTYPECA
SYNTAXIN,NTYPECA
SYNTAXIN,PQCaCh
SNAP25,PQCaCh
SYNAPTOTAGMIN,PQCaCh
CREB,TFIIB
SHC,PI3K
ERBB,SHC
ERBB,PI3K
TRKA,PI3K
PKA,RIM
ADAPTIN,GABAAR
ADAPTIN,CLATHRIN
ADAPTIN,CLATHRIN
ADAPTIN,DYNAMIN
ADAPTIN,DYNAMIN
RHO,PIP5K
PIP5K,PIP2
CERAMIDE,PP2A
CERAMIDE,PP1
PA,PP1
CERAMIDE,PP2A
PRMT1,SAM68
GRAB,RAB3
COLLAGEN,INTEGRIN
VITRONECTIN,INTEGRIN
FIBRINOGEN,INTEGRIN
C3G,RAS
ENKEPHALIN,DOPR
ENKEPHALIN,KOPR
ENKEPHALIN,MOPR
ENKEPHALIN,NOPR
DOPR,GBETAGAMMA
KOPR,GBETAGAMMA
MOPR,GBETAGAMMA
NOPR,GBETAGAMMA
DOPR,GALPHAO
DOPR,GALPHAI
KOPR,GALPHAO
KOPR,GALPHAI
MOPR,GALPHAO
MOPR,GALPHAI
NOPR,GALPHAO
NOPR,GALPHAI
ERBB,SYNTROPHIN
ERBB,PSD95
ERBB,PSD93
ERBB,SAP102
NMDAR,PLCGAMMA
NMDAR,PTP1D
NT4,TRKB
NT4,TRKB
NT4,TRKB
CAMKII,SAP97
NMDAR,SAP102
NMDAR,PSD95
TRKA,IRS1
TRKA,SHC
RAP2,RAS
RAP2,RALGDS
IGF1R,IRS1
IGF1R,SHC
IGF1R,GRB10
FAK,ALPHAACTININ
IR,GRB10
GRB10,PI3K
CALCINEURIN,GABAAR
RALBP1,CDC42
RAL,RALBP1
RALBP1,RAC
RALBP1,REPS1
REPS1,CRK
REPS1,GRB2
CALCINEURIN,CREB
PP1,CREB
PP2A,CREB
CEK1,RAF1
CERAMIDE,CEK1
CERAMIDE,PKC
CERAMIDE,PKC
MGLUR1,TAMALIN
TAMALIN,PSD95
MGLUR1,TAMALIN
TAMALIN,SYK
